"id","sc_chgid","name","sort_number","created_at","updated_at","deleted_at","unpublished_at"
1,"1","テレビ 関東",50,"2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",,
2,"2","BSデジタル",140,"2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",,
5,"8","テレビ 近畿",80,"2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",,
6,"9","BSアナログ/デジタル",150,"2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",,
8,"11","テレビ 全国",10,"2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",,
10,"13","テレビ 東海",70,"2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",,
11,"14","テレビ 中国",90,"2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",,
14,"17","その他",160,"2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",,
15,"18","テレビ 北海道",20,"2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",,
16,"19","テレビ 九州",110,"2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",,
17,"20","テレビ 東北",30,"2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",,
18,"21","テレビ 甲信越",60,"2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",,
19,"22","テレビ 四国",100,"2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",,
22,"25","テレビ 北陸",40,"2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",,
23,"26","テレビ 沖縄",120,"2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",,
4,"7","動画サービス",130,"2014-07-06 13:46:41+00","2019-03-16 18:29:36.704846+00",,
3,"6","スカパー",155,"2014-07-06 13:46:41+00","2019-03-16 18:30:49.745795+00",,
20,"23","ABEMA",135,"2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",,
