"id","channel_group_id","sc_chid","name","created_at","updated_at","vod","aasm_state","sort_number","deleted_at","name_alter","unpublished_at"
1,8,1,"NHK総合","2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",FALSE,"published",0,,"",
2,8,2,"NHK Eテレ","2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",FALSE,"published",0,,"",
3,1,3,"フジテレビ","2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",FALSE,"published",0,,"",
4,1,4,"日本テレビ","2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",FALSE,"published",0,,"",
5,1,5,"TBS","2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",FALSE,"published",0,,"",
6,1,6,"テレビ朝日","2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",FALSE,"published",0,,"",
7,1,7,"テレビ東京","2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",FALSE,"published",0,,"",
8,1,8,"tvk","2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",FALSE,"published",0,,"",
9,6,9,"NHK-BS1","2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",FALSE,"published",0,,"",
10,6,10,"NHK-BS2","2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",FALSE,"published",0,,"",
12,6,12,"WOWOW","2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",FALSE,"published",0,,"",
13,1,13,"チバテレビ","2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",FALSE,"published",0,,"",
14,1,14,"テレ玉","2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",FALSE,"published",0,,"",
16,2,16,"BS-TBS","2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",FALSE,"published",0,,"",
17,2,17,"BSフジ","2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",FALSE,"published",0,,"",
18,2,18,"BS朝日","2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",FALSE,"published",0,,"",
19,1,19,"TOKYO MX","2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",FALSE,"published",0,,"",
20,3,20,"AT-X","2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",FALSE,"published",0,,"",
21,3,21,"アニマックス","2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",FALSE,"published",0,,"",
22,3,22,"キッズステーション","2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",FALSE,"published",0,,"",
