id,name,sort_number,year
1,winter,333,2000
2,spring,334,2000
3,summer,335,2000
4,autumn,336,2000
5,winter,337,2001
6,spring,338,2001
7,summer,339,2001
8,autumn,340,2001
9,winter,341,2002
10,spring,342,2002
11,summer,343,2002
12,autumn,344,2002
13,winter,345,2003
14,spring,346,2003
15,summer,347,2003
16,autumn,348,2003
17,winter,349,2004
18,spring,350,2004
19,summer,351,2004
20,autumn,352,2004
21,winter,353,2005
22,spring,354,2005
23,summer,355,2005
24,autumn,356,2005
25,winter,357,2006
26,spring,358,2006
27,summer,359,2006
28,autumn,360,2006
29,winter,361,2007
30,spring,362,2007
31,summer,363,2007
32,autumn,364,2007
33,winter,365,2008
34,spring,366,2008
35,summer,367,2008
36,autumn,368,2008
37,winter,369,2009
38,spring,370,2009
39,summer,371,2009
40,autumn,372,2009
41,winter,373,2010
42,spring,374,2010
43,summer,375,2010
44,autumn,376,2010
45,winter,377,2011
46,spring,378,2011
47,summer,379,2011
48,autumn,380,2011
49,winter,381,2012
50,spring,382,2012
51,summer,383,2012
52,autumn,384,2012
53,winter,385,2013
54,spring,386,2013
55,summer,387,2013
56,autumn,388,2013
57,winter,389,2014
58,spring,390,2014
59,summer,391,2014
60,autumn,392,2014
61,winter,393,2015
62,spring,394,2015
63,summer,395,2015
64,autumn,396,2015
65,winter,397,2016
66,winter,1,1917
67,spring,2,1917
68,summer,3,1917
69,autumn,4,1917
70,winter,5,1918
71,spring,6,1918
72,summer,7,1918
73,autumn,8,1918
74,winter,9,1919
75,spring,10,1919
76,summer,11,1919
77,autumn,12,1919
78,winter,13,1920
79,spring,14,1920
80,summer,15,1920
81,autumn,16,1920
82,winter,17,1921
83,spring,18,1921
84,summer,19,1921
85,autumn,20,1921
86,winter,21,1922
87,spring,22,1922
88,summer,23,1922
89,autumn,24,1922
90,winter,25,1923
91,spring,26,1923
92,summer,27,1923
93,autumn,28,1923
94,winter,29,1924
95,spring,30,1924
96,summer,31,1924
97,autumn,32,1924
98,winter,33,1925
99,spring,34,1925
100,summer,35,1925
101,autumn,36,1925
102,winter,37,1926
103,spring,38,1926
104,summer,39,1926
105,autumn,40,1926
106,winter,41,1927
107,spring,42,1927
108,summer,43,1927
109,autumn,44,1927
110,winter,45,1928
111,spring,46,1928
112,summer,47,1928
113,autumn,48,1928
114,winter,49,1929
115,spring,50,1929
116,summer,51,1929
117,autumn,52,1929
118,winter,53,1930
119,spring,54,1930
120,summer,55,1930
121,autumn,56,1930
122,winter,57,1931
123,spring,58,1931
124,summer,59,1931
125,autumn,60,1931
126,winter,61,1932
127,spring,62,1932
128,summer,63,1932
129,autumn,64,1932
130,winter,65,1933
131,spring,66,1933
132,summer,67,1933
133,autumn,68,1933
134,winter,69,1934
135,spring,70,1934
136,summer,71,1934
137,autumn,72,1934
138,winter,73,1935
139,spring,74,1935
140,summer,75,1935
141,autumn,76,1935
142,winter,77,1936
143,spring,78,1936
144,summer,79,1936
145,autumn,80,1936
146,winter,81,1937
147,spring,82,1937
148,summer,83,1937
149,autumn,84,1937
150,winter,85,1938
151,spring,86,1938
152,summer,87,1938
153,autumn,88,1938
154,winter,89,1939
155,spring,90,1939
156,summer,91,1939
157,autumn,92,1939
158,winter,93,1940
159,spring,94,1940
160,summer,95,1940
161,autumn,96,1940
162,winter,97,1941
163,spring,98,1941
164,summer,99,1941
165,autumn,100,1941
166,winter,101,1942
167,spring,102,1942
168,summer,103,1942
169,autumn,104,1942
170,winter,105,1943
171,spring,106,1943
172,summer,107,1943
173,autumn,108,1943
174,winter,109,1944
175,spring,110,1944
176,summer,111,1944
177,autumn,112,1944
178,winter,113,1945
179,spring,114,1945
180,summer,115,1945
181,autumn,116,1945
182,winter,117,1946
183,spring,118,1946
184,summer,119,1946
185,autumn,120,1946
186,winter,121,1947
187,spring,122,1947
188,summer,123,1947
189,autumn,124,1947
190,winter,125,1948
191,spring,126,1948
192,summer,127,1948
193,autumn,128,1948
194,winter,129,1949
195,spring,130,1949
196,summer,131,1949
197,autumn,132,1949
198,winter,133,1950
199,spring,134,1950
200,summer,135,1950
201,autumn,136,1950
202,winter,137,1951
203,spring,138,1951
204,summer,139,1951
205,autumn,140,1951
206,winter,141,1952
207,spring,142,1952
208,summer,143,1952
209,autumn,144,1952
210,winter,145,1953
211,spring,146,1953
212,summer,147,1953
213,autumn,148,1953
214,winter,149,1954
215,spring,150,1954
216,summer,151,1954
217,autumn,152,1954
218,winter,153,1955
219,spring,154,1955
220,summer,155,1955
221,autumn,156,1955
222,winter,157,1956
223,spring,158,1956
224,summer,159,1956
225,autumn,160,1956
226,winter,161,1957
227,spring,162,1957
228,summer,163,1957
229,autumn,164,1957
230,winter,165,1958
231,spring,166,1958
232,summer,167,1958
233,autumn,168,1958
234,winter,169,1959
235,spring,170,1959
236,summer,171,1959
237,autumn,172,1959
238,winter,173,1960
239,spring,174,1960
240,summer,175,1960
241,autumn,176,1960
242,winter,177,1961
243,spring,178,1961
244,summer,179,1961
245,autumn,180,1961
246,winter,181,1962
247,spring,182,1962
248,summer,183,1962
249,autumn,184,1962
250,winter,185,1963
251,spring,186,1963
252,summer,187,1963
253,autumn,188,1963
254,winter,189,1964
255,spring,190,1964
256,summer,191,1964
257,autumn,192,1964
258,winter,193,1965
259,spring,194,1965
260,summer,195,1965
261,autumn,196,1965
262,winter,197,1966
263,spring,198,1966
264,summer,199,1966
265,autumn,200,1966
266,winter,201,1967
267,spring,202,1967
268,summer,203,1967
269,autumn,204,1967
270,winter,205,1968
271,spring,206,1968
272,summer,207,1968
273,autumn,208,1968
274,winter,209,1969
275,spring,210,1969
276,summer,211,1969
277,autumn,212,1969
278,winter,213,1970
279,spring,214,1970
280,summer,215,1970
281,autumn,216,1970
282,winter,217,1971
283,spring,218,1971
284,summer,219,1971
285,autumn,220,1971
286,winter,221,1972
287,spring,222,1972
288,summer,223,1972
289,autumn,224,1972
290,winter,225,1973
291,spring,226,1973
292,summer,227,1973
293,autumn,228,1973
294,winter,229,1974
295,spring,230,1974
296,summer,231,1974
297,autumn,232,1974
298,winter,233,1975
299,spring,234,1975
300,summer,235,1975
301,autumn,236,1975
302,winter,237,1976
303,spring,238,1976
304,summer,239,1976
305,autumn,240,1976
306,winter,241,1977
307,spring,242,1977
308,summer,243,1977
309,autumn,244,1977
310,winter,245,1978
311,spring,246,1978
312,summer,247,1978
313,autumn,248,1978
314,winter,249,1979
315,spring,250,1979
316,summer,251,1979
317,autumn,252,1979
318,winter,253,1980
319,spring,254,1980
320,summer,255,1980
321,autumn,256,1980
322,winter,257,1981
323,spring,258,1981
324,summer,259,1981
325,autumn,260,1981
326,winter,261,1982
327,spring,262,1982
328,summer,263,1982
329,autumn,264,1982
330,winter,265,1983
331,spring,266,1983
332,summer,267,1983
